Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.5684782862663269,0.8680967688560486,0.027756938710808754,0.6282528042793274,,,,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.5684782862663269,0.8667275309562683,0.030757689848542213,0.6273234486579895,,,,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.5704348087310791,0.8712916374206543,0.03450862690806389,0.6217471957206726,,,,,,,,4,True,0.001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.5702173709869385,0.8708352446556091,0.029257314279675484,0.6282528042793274,,,,,,,,4,True,0.001,0.001,0.9,Focal,True,0.999,ASSAULT
0.5730434656143188,0.8712916374206543,0.03900975361466408,0.6273234486579895,,,,,,,,4,True,0.001,0.001,0.9,Focal,True,0.995,ASSAULT
0.5678260922431946,0.869922399520874,0.03300825133919716,0.6152416467666626,,,,,,,,4,True,0.001,0.001,0.9,Focal,True,0.99,ASSAULT
0.5676087141036987,0.8863532543182373,0.0,0.6217471957206726,,,,,,,,4,True,0.001,0.05,0.9,Focal,True,0.999,ASSAULT
0.5671738982200623,0.8877224922180176,0.0,0.6171003580093384,,,,,,,,4,True,0.001,0.05,0.9,Focal,True,0.995,ASSAULT
0.5684782862663269,0.890004575252533,0.0,0.6180297136306763,,,,,,,,4,True,0.001,0.05,0.9,Focal,True,0.99,ASSAULT
0.5734782814979553,0.8598813414573669,0.05551387742161751,0.6319702863693237,,,,,,,,4,True,0.001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.5730434656143188,0.8617069721221924,0.05401350185275078,0.6282528042793274,,,,,,,,4,True,0.001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.5754348039627075,0.8594249486923218,0.05326331406831741,0.6440520286560059,,,,,,,,4,True,0.001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.5694505572319031,0.8738445043563843,0.03405572846531868,0.6624383330345154,,,,,,,,4,True,0.001,0.001,0.95,Focal,True,0.999,ASSAULT
0.5673912763595581,0.854860782623291,0.05176294222474098,0.6208178400993347,,,,,,,,4,True,0.001,0.001,0.95,Focal,True,0.995,ASSAULT
0.5695652365684509,0.8571428656578064,0.04576143994927406,0.6328996419906616,,,,,,,,4,True,0.001,0.001,0.95,Focal,True,0.99,ASSAULT
0.5680434703826904,0.8808763027191162,0.005251312628388405,0.6282528042793274,,,,,,,,4,True,0.001,0.05,0.95,Focal,True,0.999,ASSAULT
0.5667391419410706,0.8845276236534119,0.003000750206410885,0.6180297136306763,,,,,,,,4,True,0.001,0.05,0.95,Focal,True,0.995,ASSAULT
0.5682608485221863,0.8827019333839417,0.005251312628388405,0.625464677810669,,,,,,,,4,True,0.001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5873913168907166,0.8434504866600037,0.07651913166046143,0.6988847851753235,,,,,,,,4,True,0.001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5849999785423279,0.8356914520263672,0.07801950722932816,0.702602207660675,,,,,,,,4,True,0.001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5895652174949646,0.8439068794250488,0.09077269583940506,0.6895910501480103,,,,,,,,4,True,0.001,0.0005,0.99,Focal,True,0.99,ASSAULT
0.5852174162864685,0.8461889624595642,0.06676669418811798,0.696096658706665,,,,,,,,4,True,0.001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5873913168907166,0.8356914520263672,0.08402100205421448,0.7053903341293335,,,,,,,,4,True,0.001,0.001,0.99,Focal,True,0.995,ASSAULT
0.5834782719612122,0.8320401906967163,0.07951988279819489,0.7016728520393372,,,,,,,,4,True,0.001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5682608485221863,0.8644454479217529,0.04726181551814079,0.6105948090553284,,,,,,,,4,True,0.001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5673912763595581,0.860794186592102,0.04051012918353081,0.6226765513420105,,,,,,,,4,True,0.001,0.05,0.99,Focal,True,0.995,ASSAULT
0.5684782862663269,0.855317234992981,0.03300825133919716,0.6477695107460022,,,,,,,,4,True,0.001,0.05,0.99,Focal,True,0.99,ASSAULT
0.47777777910232544,0.7545160055160522,0.13671274483203888,0.3301251232624054,,,,,,,,4,True,0.0001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.47108694911003113,0.7631218433380127,0.13953489065170288,0.2871747314929962,,,,,,,,4,True,0.0001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.4758695662021637,0.7521679401397705,0.17029257118701935,0.29182156920433044,,,,,,,,4,True,0.0001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.457608699798584,0.7256960272789001,0.10577644407749176,0.3475836515426636,,,,,,,,4,True,0.0001,0.001,0.9,Focal,True,0.999,ASSAULT
0.47600001096725464,0.7707272171974182,0.07066052407026291,0.3715110719203949,,,,,,,,4,True,0.0001,0.001,0.9,Focal,True,0.995,ASSAULT
0.4664444327354431,0.7758221626281738,0.11367127299308777,0.2656400501728058,,,,,,,,4,True,0.0001,0.001,0.9,Focal,True,0.99,ASSAULT
0.47644445300102234,0.7744325995445251,0.10522273182868958,0.32242539525032043,,,,,,,,4,True,0.0001,0.05,0.9,Focal,True,0.999,ASSAULT
0.4739130437374115,0.7781834602355957,0.10877719521522522,0.306691437959671,,,,,,,,4,True,0.0001,0.05,0.9,Focal,True,0.995,ASSAULT
0.47717392444610596,0.7895938158035278,0.12303075939416885,0.27973976731300354,,,,,,,,4,True,0.0001,0.05,0.9,Focal,True,0.99,ASSAULT
0.5419565439224243,0.850296676158905,0.04576143994927406,0.5288103818893433,,,,,,,,4,True,0.0001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.5339999794960022,0.9082908630371094,0.05069124326109886,0.3618864417076111,,,,,,,,4,True,0.0001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.5341304540634155,0.8831583857536316,0.04951237887144089,0.4237918257713318,,,,,,,,4,True,0.0001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.5343478322029114,0.8635326623916626,0.04951237887144089,0.46468400955200195,,,,,,,,4,True,0.0001,0.001,0.95,Focal,True,0.999,ASSAULT
0.5426086783409119,0.909630298614502,0.03525881469249725,0.4237918257713318,,,,,,,,4,True,0.0001,0.001,0.95,Focal,True,0.995,ASSAULT
0.5356521606445312,0.8968507647514343,0.06226556748151779,0.38661709427833557,,,,,,,,4,True,0.0001,0.001,0.95,Focal,True,0.99,ASSAULT
0.5260869860649109,0.9356458187103271,0.01425356324762106,0.3262081742286682,,,,,,,,4,True,0.0001,0.05,0.95,Focal,True,0.999,ASSAULT
0.5354347825050354,0.8649019002914429,0.04576143994927406,0.47118958830833435,,,,,,,,4,True,0.0001,0.05,0.95,Focal,True,0.995,ASSAULT
0.5326666831970215,0.9268179535865784,0.02380952425301075,0.35129931569099426,,,,,,,,4,True,0.0001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5678260922431946,0.8708352446556091,0.02700675092637539,0.6208178400993347,,,,,,,,4,True,0.0001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5680434703826904,0.8680967688560486,0.03150787577033043,0.6217471957206726,,,,,,,,4,True,0.0001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5689130425453186,0.8680967688560486,0.032258063554763794,0.624535322189331,,,,,,,,4,True,0.0001,0.0005,0.99,Focal,True,0.99,ASSAULT
